SurgeryProcedureMainGroupId,SurgeryProcedureSubGroupId,SurgeryProcedureId,Code,SurgeryProcedure,SurgeryProcedureSeverity,MainGroup,SubGroup,Specialty
1,1,17,1-1-17-Com,Combined anterior vertebrectomy with posterior fusion and instrumentation,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,18,1-1-18-Com,Correction of degenerative scoliosis including decompression +/- fusion,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,19,1-1-19-Xma,Decompression for central spinal stenosis (one or two levels),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,20,1-1-20-Com,Decompression for central spinal stenosis (three or more levels),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,21,1-1-21-Min,Discogram/diagnostic vertebral disc injection under X-ray control,Min,Spine,Spinal column (including intervertebral discs),Spine
1,1,22,1-1-22-Min,Manipulation of spine under GA/IV sedation (sole procedure),Min,Spine,Spinal column (including intervertebral discs),Spine
1,1,23,1-1-23-Maj,Mobilisation of the lumbar/thoracic vessels to provide spinal surgical access,Maj,Spine,Spinal column (including intervertebral discs),Spine
1,1,24,1-1-24-Maj,Open biopsy of lesion of spine where no other operative procedure on the spine is performed.,Maj,Spine,Spinal column (including intervertebral discs),Spine
1,1,25,1-1-25-Com,Open door laminoplasty of the cervical region (Hirobyashi),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,26,1-1-26-Maj,Percutaneous spinal biopsy (CT controlled),Maj,Spine,Spinal column (including intervertebral discs),Spine
1,1,27,1-1-27-Xma,Percutaneous vertebroplasty,Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,28,1-1-28-Com,"Posterior correction of degenerative adult kyphosis with instrumentation, +/- fusion (including spinal cord monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,29,1-1-29-Com,"Posterior correction of idiopathic juvenile kyphosis with instrumentation, +/- fusion (including spinal cord monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,30,1-1-30-Com,"Posterior correction of idiopathic juvenile scoliosis with instrumentation, +/- fusion (including spinal cord monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,31,1-1-31-Xma,Posterior decompression (thoracic region),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,32,1-1-32-Com,Posterior decompression +/- foraminotomy (cervical region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,33,1-1-33-Com,Posterior decompression with fusion (thoracic region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,34,1-1-34-Xma,Posterior excision of disc prolapse including microdiscectomy +/- decompression (lumbar region),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,35,1-1-35-Xma,Posterior excision of disc prolapse with undercutting facetectomy +/- decompression (lumbar region),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,36,1-1-36-Xma,Posterior fusion (cervical region),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,37,1-1-37-Xma,"Primary anterior discectomy, decompression and anterior fusion +/- instrumentation (lumbar region)",Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,38,1-1-38-Com,Primary posterior fusion +/- decompression +/- discectomy (lumbar region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,39,1-1-39-Com,Primary posterior fusion with instrumentation +/- decompression +/- discectomy (including graf stabilisation and all fusion approaches) (lumbar region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,40,1-1-40-Com,Prosthetic intervertebral disc replacement in the cervical spine,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,41,1-1-41-Com,Prosthetic intervertebral disc replacement in the thoracic spine,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,42,1-1-42-Com,Prosthetic replacement of lumbar disc,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,43,1-1-43-Maj,Removal of posterior scoliosis instrumentation (as sole procedure),Maj,Spine,Spinal column (including intervertebral discs),Spine
1,1,44,1-1-44-Maj,Removal of posterior spinal implant,Maj,Spine,Spinal column (including intervertebral discs),Spine
1,1,45,1-1-45-Com,Revision anterior decompression with fusion and instrumentation (lumbar region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,46,1-1-46-Com,Revision of decompression for central spinal stenosis,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,47,1-1-47-Com,Revision of posterior excision of disc prolapse (lumbar region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,48,1-1-48-Com,Revision of posterior excision of disc prolapse with undercutting facetectomy (lumbar region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,49,1-1-49-Com,Revision posterior fusion +/- instrumentation (lumbar region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,50,1-1-50-Com,Revisional anterior discectomy (cervical region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,51,1-1-51-Com,Revisional combined anterior discectomy and posterior fusion (thoracic region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,52,1-1-52-Com,Revisional posterior decompression +/- foraminotomy (cervical region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,53,1-1-53-Com,Revisional posterior decompression with fusion (thoracic region),Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,54,1-1-54-Com,Revisional transthoracic/antero-lateral excision of intervertebral disc +/- fusion,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,55,1-1-55-Com,Trans oral surgery including posterior fixation,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,56,1-1-56-Int,Transforaminal epidural,Int,Spine,Spinal column (including intervertebral discs),Spine
1,1,57,1-1-57-Com,Transthoracic/antero-lateral excision of intervertebral disc +/- fusion,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,58,1-1-58-Xma,VATS percutaneous discectomy +/- fusion (thoracic region),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,2,1,1-2-1-Int,CSF infusion studies,Int,Spine,Spinal Cord,Spine
1,2,2,1-2-2-Xma,Drainage of spinal canal (including insertion of shunt),Xma,Spine,Spinal Cord,Spine
1,2,3,1-2-3-Com,Excision of intradural lesion,Com,Spine,Spinal Cord,Spine
1,2,4,1-2-4-Com,Excision of intramedullary tumour,Com,Spine,Spinal Cord,Spine
1,2,5,1-2-5-Maj,Implantation/removal of epidural delivery system,Maj,Spine,Spinal Cord,Spine
1,2,6,1-2-6-Maj,Implantation/removal of intrathecal drug delivery system,Maj,Spine,Spinal Cord,Spine
1,2,7,1-2-7-Min,Lumbar puncture (including spinal manometry),Min,Spine,Spinal Cord,Spine
1,2,8,1-2-8-Com,Open operations on spinal cord,Com,Spine,Spinal Cord,Spine
1,2,9,1-2-9-Com,Partial excision of spinal cord,Com,Spine,Spinal Cord,Spine
1,2,10,1-2-10-Xma,Percutaneous cordotomy of spinal cord,Xma,Spine,Spinal Cord,Spine
1,2,11,1-2-11-Int,Removal of permanently implanted neurostimulator (spinal cord peripheral nerve),Int,Spine,Spinal Cord,Spine
1,2,12,1-2-12-Com,Repair of spinal myelomeningocele,Com,Spine,Spinal Cord,Spine
1,3,1,1-3-1-Int,"Coeliac plexus block, splanchnic nerve block, hypogastric block - diagnostic",Int,Spine,Paraspinal injections,Spine
1,3,2,1-3-2-Int,"Coeliac plexus block, splanchnic nerve block, hypogastric block - therapeutic",Int,Spine,Paraspinal injections,Spine
1,3,3,1-3-3-Int,Destruction of branch of trigeminal nerve (neurolytic/RF/cryoprobe),Int,Spine,Paraspinal injections,Spine
1,3,4,1-3-4-Int,Dorsal root ganglion block (local anaesthetic or neurolytic),Int,Spine,Paraspinal injections,Spine
1,3,5,1-3-5-Maj,Dorsal root ganglion block (radiofrequency),Maj,Spine,Paraspinal injections,Spine
1,3,6,1-3-6-Int,Epidural injection (cervical),Int,Spine,Paraspinal injections,Spine
1,3,7,1-3-7-Min,Epidural injection (lumbar/caudal),Min,Spine,Paraspinal injections,Spine
1,3,8,1-3-8-Int,Epidural injection (thoracic),Int,Spine,Paraspinal injections,Spine
1,3,9,1-3-9-Min,Epidurogram,Min,Spine,Paraspinal injections,Spine
1,3,10,1-3-10-Int,Epiduroplasty (Racz catheter or equivalent),Int,Spine,Paraspinal injections,Spine
1,3,11,1-3-11-Maj,Facet or sacroiliac joint (RF) radiofrequency thermocoagulation including rhizolysis (under X-ray control ) - 4 to 6 joints.,Maj,Spine,Paraspinal injections,Spine
1,3,12,1-3-12-Int,Facet or sacroiliac joint (RF) radiofrequency thermocoagulation including rhizolysis (under X-ray control) - up to 3 joints,Int,Spine,Paraspinal injections,Spine
1,3,13,1-3-13-Min,Injection of therapeutic substance into CSF,Min,Spine,Paraspinal injections,Spine
1,3,14,1-3-14-Int,Intrathecal neurolysis,Int,Spine,Paraspinal injections,Spine
1,3,15,1-3-15-Min,Intravenous regional sympathetic block (guanethidine block) - 1 injection,Min,Spine,Paraspinal injections,Spine
1,3,16,1-3-16-Int,Medial Branch Block Facet joint injection (under X-ray control) - 5 to 6 joints,Int,Spine,Paraspinal injections,Spine
1,3,17,1-3-17-Int,Medial Branch Block or Facet joint injection (under X-ray control) - 3 to 4 joints,Int,Spine,Paraspinal injections,Spine
1,3,18,1-3-18-Int,Medial Branch Block or Facet joint Injection (under x-ray control) - up to 2 joints,Int,Spine,Paraspinal injections,Spine
1,3,19,1-3-19-Min,Paravertebral block up to two levels (under X-ray control),Min,Spine,Paraspinal injections,Spine
1,3,20,1-3-20-Min,Sacral root block (under X-ray control),Min,Spine,Paraspinal injections,Spine
1,3,21,1-3-21-Min,Sacroiliac joint injection under image guidance,Min,Spine,Paraspinal injections,Spine
1,3,22,1-3-22-Min,Stellate ganglion block (neurolytic),Min,Spine,Paraspinal injections,Spine
1,3,23,1-3-23-Int,Trigeminal ganglion injection (local anaesthetic under X-ray control),Int,Spine,Paraspinal injections,Spine
1,3,24,1-3-24-Int,Trigeminal ganglion radiofrequency lesion (under X-ray control),Int,Spine,Paraspinal injections,Spine
1,4,1,1-4-1-Xma,Rhizolysis,Xma,Spine,Nerve roots,Spine
1,5,1,1-5-1-Int,"Coeliac plexus block, splanchnic nerve block, hypogastric block - diagnostic",Int,Spine,Sympathetic nerves,Spine
1,5,2,1-5-2-Int,"Coeliac plexus block, splanchnic nerve block, hypogastric block - therapeutic",Int,Spine,Sympathetic nerves,Spine
1,5,3,1-5-3-Min,Intravenous regional sympathetic block (guanethidine block) - 1 injection,Min,Spine,Sympathetic nerves,Spine
1,5,4,1-5-4-Maj,Laparoscopic lumbar sympathectomy,Maj,Spine,Sympathetic nerves,Spine
1,5,5,1-5-5-Int,Lumbar sympathectomy diagnostic (local anaesthetic under X-ray control),Int,Spine,Sympathetic nerves,Spine
1,5,6,1-5-6-Int,Lumbar sympathectomy therapeutic (neurolytic under X-ray control),Int,Spine,Sympathetic nerves,Spine
1,5,7,1-5-7-Maj,Presacral sympathectomy - diagnostic,Maj,Spine,Sympathetic nerves,Spine
1,5,8,1-5-8-Maj,Presacral sympathectomy - therapeutic,Maj,Spine,Sympathetic nerves,Spine
1,5,9,1-5-9-Maj,Sacral nerve stimulation for faecal/urinary incontinence or constipation,Maj,Spine,Sympathetic nerves,Spine
1,5,10,1-5-10-Min,Stellate ganglion block (local anaesthetic),Min,Spine,Sympathetic nerves,Spine
1,5,11,1-5-11-Min,Stellate ganglion block (neurolytic),Min,Spine,Sympathetic nerves,Spine
1,5,12,1-5-12-Int,Thoracic sympathectomy diagnostic (local anaesthetic under X-ray control),Int,Spine,Sympathetic nerves,Spine
1,5,13,1-5-13-Maj,Thoracic sympathectomy therapeutic (neurolytic under X-ray control),Maj,Spine,Sympathetic nerves,Spine
1,5,14,1-5-14-Xma,Thorascopic cervical sympathectomy,Xma,Spine,Sympathetic nerves,Spine
1,6,1,1-6-1-Int,Biopsy of peripheral nerve,Int,Spine,Peripheral nerves,Ortho
1,6,2,1-6-2-Int,Carpal tunnel release (Endoscopic),Int,Spine,Peripheral nerves,Ortho
1,6,3,1-6-3-Int,Carpal tunnel release (endoscopic) - Bilateral,Int,Spine,Peripheral nerves,Ortho
1,6,4,1-6-4-Int,Carpal tunnel release (open),Int,Spine,Peripheral nerves,Ortho
1,6,5,1-6-5-Int,Carpal tunnel release (open) - bilateral,Int,Spine,Peripheral nerves,Ortho
1,6,6,1-6-6-Int,Cubital tunnel release (endoscopic) (without transposition),Int,Spine,Peripheral nerves,Ortho
1,6,7,1-6-7-Int,Cubital tunnel release (endoscopic) Bilateral (without transposition),Int,Spine,Peripheral nerves,Ortho
1,6,8,1-6-8-Int,Cubital tunnel release (open) (without transposition),Int,Spine,Peripheral nerves,Ortho
1,6,9,1-6-9-Int,Cubital tunnel release (open) bilateral (without transposition),Int,Spine,Peripheral nerves,Ortho
1,6,10,1-6-10-Int,Excision of lesion of major nerve,Int,Spine,Peripheral nerves,Ortho
1,6,11,1-6-11-Int,Excision of lesion of peripheral nerve (eg neurilemoma),Int,Spine,Peripheral nerves,Ortho
1,6,12,1-6-12-Com,Exploration and grafting of brachial plexus,Com,Spine,Peripheral nerves,Ortho
1,6,13,1-6-13-Xma,Graft to major nerve,Xma,Spine,Peripheral nerves,Ortho
1,6,14,1-6-14-Xma,Graft to peripheral nerve,Xma,Spine,Peripheral nerves,Ortho
1,6,15,1-6-15-Maj,Implantation of neurostimulator into peripheral nerve,Maj,Spine,Peripheral nerves,Ortho
1,6,16,1-6-16-Int,Neurectomy (major nerve),Int,Spine,Peripheral nerves,Ortho
1,6,17,1-6-17-Int,Neurolysis and transposition of peripheral nerve (excludes carpal tunnel release),Int,Spine,Peripheral nerves,Ortho
1,6,18,1-6-18-Int,Release of entrapment of deeply placed peripheral nerve,Int,Spine,Peripheral nerves,Ortho
1,6,19,1-6-19-Int,Release of entrapment of peripheral nerve,Int,Spine,Peripheral nerves,Ortho
1,6,20,1-6-20-Maj,Repair of major nerve,Maj,Spine,Peripheral nerves,Ortho
1,6,21,1-6-21-Int,Repair of peripheral nerve,Int,Spine,Peripheral nerves,Ortho
1,6,22,1-6-22-Maj,Revision of release of peripheral nerve,Maj,Spine,Peripheral nerves,Ortho
1,6,23,1-6-23-Int,Transection of peripheral nerve for neuroma,Int,Spine,Peripheral nerves,Ortho
1,6,24,1-6-24-Int,Trial of neurostimulator to peripheral nerve (as sole procedure) not at time of permanent implant,Int,Spine,Peripheral nerves,Ortho
1,7,1,1-7-1-Min,Continuous nerve block as sole procedure,Min,Spine,Other nerve blocks,Other
1,7,2,1-7-2-Int,Destruction of branch of trigeminal nerve (neurolytic/RF/cryoprobe),Int,Spine,Other nerve blocks,Other
1,7,3,1-7-3-Min,Image-guided local anaesthetic blockade of named major nerve or plexus,Min,Spine,Other nerve blocks,Other
1,7,4,1-7-4-Int,"Radiofrequency (including pulsed denervation), cryoprobe or phenol for permanent lesion of major nerve trunk",Int,Spine,Other nerve blocks,Other
1,7,5,1-7-5-Int,Trigeminal ganglion injection (local anaesthetic under X-ray control),Int,Spine,Other nerve blocks,Other
1,8,1,1-8-1-Min,Botulinus toxin injections to muscle,Min,Spine,Other procedures,Other
1,8,2,1-8-2-Int,Insertion of indwelling axillary catheter,Int,Spine,Other procedures,Other
1,8,3,1-8-3-Int,Insertion of indwelling pleural catheter,Int,Spine,Other procedures,Other
1,8,4,1-8-4-Int,Insertion of indwelling psoas catheter,Int,Spine,Other procedures,Other
1,8,5,1-8-5-Min,Intramuscular injection with X-ray control (eg piriformis block),Min,Spine,Other procedures,Other
1,8,6,1-8-6-Min,Sclerosant injections (eg ligaments of back),Min,Spine,Other procedures,Other
1,8,7,1-8-7-Xma,Spinal dynamic stabilisation devices (Interspinous distraction devices e.g. X-stop),Xma,Spine,Other procedures,Other
1,8,8,1-8-8-Min,Tendon sheath injection,Min,Spine,Other procedures,Other
1,8,9,1-8-9-Int,Trigeminal ganglion radiofrequency lesion (under X-ray control),Int,Spine,Other procedures,Other
1,8,10,1-8-10-Min,Trigger point injection/Enthesis - more than one injection,Min,Spine,Other procedures,Other
1,8,11,1-8-11-Min,Trigger point injection/Enthesis - one injection,Min,Spine,Other procedures,Other
1,9,1,1-9-1-Min,24 hour ambulatory Electroencephalography (EEG) (Including reporting),Min,Spine,Neurophysiological procedures,Neuro
1,9,2,1-9-2-Min,24 hour video telemetry Electroencephalography (EEG) (Including reporting),Min,Spine,Neurophysiological procedures,Neuro
1,9,3,1-9-3-Min,Recording and reporting on electromyography and nerve conduction studies (EMG); CTS (bilateral U.L.only) or peripheral neuropathy,Min,Spine,Neurophysiological procedures,Neuro
1,9,4,1-9-4-Min,"Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuritis Multiplex, MND-AHC, Multiple Muscle Monitoring (eg Torticollis), Myaesthenia Gravis (- SFEMG)",Min,Spine,Neurophysiological procedures,Neuro
1,9,5,1-9-5-Min,"Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuropathy (eg ulnar), Cx/Lumbar radiculopathy, Myopathy",Min,Spine,Neurophysiological procedures,Neuro
1,9,6,1-9-6-Min,Recording and reporting on electromyography and nerve conduction studies (EMG); Myaesthenia Gravis (+ SFEMG),Min,Spine,Neurophysiological procedures,Neuro
1,9,7,1-9-7-Min,Recording and reporting on evoked potential study,Min,Spine,Neurophysiological procedures,Neuro
1,9,8,1-9-8-Min,Routine electroencephalography (EEG) in child under 5 (including reporting),Min,Spine,Neurophysiological procedures,Neuro
1,9,9,1-9-9-Min,Sleep Electroencephalography (EEG),Min,Spine,Neurophysiological procedures,Neuro
1,9,10,1-9-10-Min,Sleep study (polysomnography) including reporting,Min,Spine,Neurophysiological procedures,Neuro
2,1,1,2-1-1-Int,Biopsy of lesion of orbit,Int,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,2,2-1-2-Maj,Decompression of orbit,Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,3,2-1-3-Int,Drainage of orbit,Int,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,4,2-1-4-Maj,Enucleation/evisceration of eyeball,Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,5,2-1-5-Maj,Enucleation/evisceration of eyeball (with implant),Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,6,2-1-6-Maj,Excision of lesion of orbit - anterior approach,Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,7,2-1-7-Maj,Excision of lesion of orbit - lateral orbitomy,Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,8,2-1-8-Maj,Exenteration of orbit,Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,9,2-1-9-Maj,Exploration of orbit (as sole procedure),Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,10,2-1-10-Min,Orbital injection,Min,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,11,2-1-11-Com,Reconstruction of socket with either implant or graft,Com,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,12,2-1-12-Com,Reconstruction of socket with implant and graft,Com,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,13,2-1-13-Maj,Removal of foreign body from orbit,Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,1,14,2-1-14-Maj,Simple reconstruction of socket (not including implant or graft),Maj,Eye and orbital contents,Globe and orbit,Opthalmic
2,2,1,2-2-1-Min,Biopsy of lesion of eyelid,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,2,2-2-2-Min,Canthotomy,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,3,2-2-3-Int,Correction of entropion - lower lid,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,4,2-2-4-Int,"Correction of entropion - upper lid, including graft/flap",Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,5,2-2-5-Int,Correction of epicanthus,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,6,2-2-6-Int,Correction of lower lid ectropion with graft/flap,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,7,2-2-7-Int,Correction of lower lid ectropion without graft/flap,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,8,2-2-8-Maj,Correction of ptosis of eyelid - complex,Maj,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,9,2-2-9-Maj,"Correction of ptosis of eyelid - simple, including tarsomullerectomy",Maj,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,10,2-2-10-Maj,Correction of ptosis of eyelid with autologous fascia lata,Maj,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,11,2-2-11-Int,Correction of telecanthus,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,12,2-2-12-Min,Correction of trichiasis by electrolysis/diathermy/cryotherapy/laser,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,13,2-2-13-Min,Curettage/cryotherapy of lesion of eyelid,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,14,2-2-14-Int,Excision of lesion of canthus,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,15,2-2-15-Min,Excision of lesion of eyebrow,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,16,2-2-16-Min,Excision of lesion of eyelid,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,17,2-2-17-Int,Graft of skin to canthus,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,18,2-2-18-Int,Graft of skin to eyelid,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,19,2-2-19-Min,"Surgical correction of trichiasis/upper lid entropion, including graft/flap",Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,20,2-2-20-Min,Suture of eyebrow,Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,21,2-2-21-Min,Suture of eyelid (laceration) (as sole procedure),Min,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,22,2-2-22-Int,Tarsorrhaphy,Int,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,2,23,2-2-23-Maj,Total reconstruction of eyelid - unilateral,Maj,Eye and orbital contents,Eyebrow and lid,Opthalmic
2,3,1,2-3-1-Int,Injection of botulinum toxin into extraocular or periocular muscles,Int,Eye and orbital contents,Muscles,Opthalmic
2,3,2,2-3-2-Xma,Revision of squint surgery,Xma,Eye and orbital contents,Muscles,Opthalmic
2,3,3,2-3-3-Maj,Surgical correction of squint - horizontal 1 muscle,Maj,Eye and orbital contents,Muscles,Opthalmic
2,3,4,2-3-4-Maj,"Surgical correction of squint - horizontal 2 muscles (in one eye, or one muscle in each of two eyes)",Maj,Eye and orbital contents,Muscles,Opthalmic
2,3,5,2-3-5-Maj,Surgical correction of squint - inferior oblique surgery,Maj,Eye and orbital contents,Muscles,Opthalmic
2,3,6,2-3-6-Maj,Surgical correction of squint - other vertical muscles,Maj,Eye and orbital contents,Muscles,Opthalmic
2,3,7,2-3-7-Xma,Surgical correction of squint with adjustable sutures,Xma,Eye and orbital contents,Muscles,Opthalmic
2,4,1,2-4-1-Min,Cauterisation including cryotherapy to conjunctival lesion,Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,2,2-4-2-Min,Drainage of conjunctival cyst,Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,3,2-4-3-Min,Excision/biopsy of conjunctival lesion,Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,4,2-4-4-Min,Exploration of conjunctiva (including removal of foreign body),Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,5,2-4-5-Int,Mucosal graft to conjunctiva,Int,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,6,2-4-6-Min,Radiotherapy to conjunctival lesion,Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,7,2-4-7-Min,Subconjunctival injection,Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,4,8,2-4-8-Min,Suture of conjunctiva,Min,Eye and orbital contents,Conjuctiva,Opthalmic
2,5,1,2-5-1-Min,Corneal scraping for culture,Min,Eye and orbital contents,Cornea,Opthalmic
2,5,2,2-5-2-Xma,Descemets stripping endothelial keratoplasty (DSEK),Xma,Eye and orbital contents,Cornea,Opthalmic
2,5,3,2-5-3-Min,Excision of lesion of cornea,Min,Eye and orbital contents,Cornea,Opthalmic
2,5,4,2-5-4-Min,Excision of pterygium,Min,Eye and orbital contents,Cornea,Opthalmic
2,5,5,2-5-5-Int,Implantation of synthetic corneal rings for keratoconus (including INTACS),Int,Eye and orbital contents,Cornea,Opthalmic
2,5,6,2-5-6-Xma,Lamellar graft (keratoplasty) to cornea,Xma,Eye and orbital contents,Cornea,Opthalmic
2,5,7,2-5-7-Xma,Perforating graft (keratoplasty) to cornea,Xma,Eye and orbital contents,Cornea,Opthalmic
2,5,8,2-5-8-Min,Removal of corneal suture,Min,Eye and orbital contents,Cornea,Opthalmic
2,5,9,2-5-9-Min,Removal of superficial corneal foreign body,Min,Eye and orbital contents,Cornea,Opthalmic
2,5,10,2-5-10-Min,Repair of corneal wound,Min,Eye and orbital contents,Cornea,Opthalmic
2,5,11,2-5-11-Maj,Revision of corneal graft/wound,Maj,Eye and orbital contents,Cornea,Opthalmic
2,5,12,2-5-12-Int,Tension sutures,Int,Eye and orbital contents,Cornea,Opthalmic
2,6,1,2-6-1-Int,Excision of lesion of sclera,Int,Eye and orbital contents,Sclera,Opthalmic
2,6,2,2-6-2-Int,Repair of scleral laceration,Int,Eye and orbital contents,Sclera,Opthalmic
2,6,3,2-6-3-Maj,Scleral graft,Maj,Eye and orbital contents,Sclera,Opthalmic
